ID,Override privacy lock,Name,Room type,Requested authorizations,Office mode,Programming card,ADA,Lock profile,Opening delay,Future master card,Open on with draw,Show low battery,Close on lever,Card authorizations,Card optional authorizations,Shift,Future guest card,Related timetable
,,800,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,801,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,802,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,803,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,805,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,806,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,807,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,808,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,809,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,810,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,811,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,812,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,815,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,817,GuestRoom,,,1,,FLOOR 8,,,,,,,,,,
,,900,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,901,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,902,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,903,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,905,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,906,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,907,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,908,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,909,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,910,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,911,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,912,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,915,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,917,GuestRoom,,,1,,FLOOR 9,,,,,,,,,,
,,1000,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1001,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1002,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1003,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1005,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1006,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1007,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1008,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1009,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1010,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1011,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1012,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1015,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1017,GuestRoom,,,1,,FLOOR 10,,,,,,,,,,
,,1100,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1101,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1102,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1103,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1105,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1106,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1107,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1108,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1109,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1110,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1111,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1112,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1115,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1117,GuestRoom,,,1,,FLOOR 11,,,,,,,,,,
,,1200,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1201,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1202,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1203,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1205,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1206,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1207,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1208,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1209,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1210,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1211,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1212,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1215,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1217,GuestRoom,,,1,,FLOOR 12,,,,,,,,,,
,,1500,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1501,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1502,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1503,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1505,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1506,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1507,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1508,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1509,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1510,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1511,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1512,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1515,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1517,GuestRoom,,,1,,FLOOR 15,,,,,,,,,,
,,1600,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1601,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1602,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1603,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1605,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1606,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1607,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1608,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1609,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1610,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1611,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1612,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1615,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1617,GuestRoom,,,1,,FLOOR 16,,,,,,,,,,
,,1700,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1701,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1702,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1703,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1705,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1706,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1707,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1708,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1709,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1710,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1711,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1712,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1715,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1717,GuestRoom,,,1,,FLOOR 17,,,,,,,,,,
,,1800,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1801,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1802,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1803,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1805,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1806,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1807,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1808,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1809,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1810,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1811,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1812,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1815,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1817,GuestRoom,,,1,,FLOOR 18,,,,,,,,,,
,,1900,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1901,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1902,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1903,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1905,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1906,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1907,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1908,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1909,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1910,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1911,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1912,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1915,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,1917,GuestRoom,,,1,,FLOOR 19,,,,,,,,,,
,,2000,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2001,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2002,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2003,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2005,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2006,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2007,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2008,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2009,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2010,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2011,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2012,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2015,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2017,GuestRoom,,,1,,FLOOR 20,,,,,,,,,,
,,2100,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2101,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2102,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2103,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2105,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2106,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2107,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2108,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2109,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2110,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2111,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2112,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2115,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2117,GuestRoom,,,1,,FLOOR 21,,,,,,,,,,
,,2200,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2201,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2202,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2203,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2205,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2206,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2207,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2208,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2209,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2210,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2211,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2212,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2215,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2217,GuestRoom,,,1,,FLOOR 22,,,,,,,,,,
,,2300,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2301,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2302,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2303,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2305,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2306,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2307,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2308,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2309,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2310,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2311,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2312,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2315,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
,,2317,GuestRoom,,,1,,FLOOR 23,,,,,,,,,,
